,time,preci,pet
2016-01-12 23:00:00,2016-01-12 23:00:00,0.0,9.343333333333335e-05
2016-01-13 00:00:00,2016-01-13 00:00:00,0.0,9.343333333333335e-05
2016-01-13 01:00:00,2016-01-13 01:00:00,0.0,4.7466666666666655e-06
2016-01-13 02:00:00,2016-01-13 02:00:00,0.0,4.7466666666666655e-06
2016-01-13 03:00:00,2016-01-13 03:00:00,0.0,4.7466666666666655e-06
2016-01-13 04:00:00,2016-01-13 04:00:00,0.0,-2.5733333333333334e-06
2016-01-13 05:00:00,2016-01-13 05:00:00,0.0,-2.5733333333333334e-06
2016-01-13 06:00:00,2016-01-13 06:00:00,1.1999999999999999e-05,-2.5733333333333334e-06
2016-01-13 07:00:00,2016-01-13 07:00:00,0.00022644,-2.706666666666667e-06
2016-01-13 08:00:00,2016-01-13 08:00:00,4.2266666666666666e-05,-2.706666666666667e-06
2016-01-13 09:00:00,2016-01-13 09:00:00,8.000000000000001e-07,-2.706666666666667e-06
2016-01-13 10:00:00,2016-01-13 10:00:00,0.0005193866666666666,6.040000000000001e-06
2016-01-13 11:00:00,2016-01-13 11:00:00,0.0016634266666666665,6.040000000000001e-06
2016-01-13 12:00:00,2016-01-13 12:00:00,0.0016782400000000001,6.040000000000001e-06
2016-01-13 13:00:00,2016-01-13 13:00:00,0.0010229999999999998,8.446666666666667e-06
2016-01-13 14:00:00,2016-01-13 14:00:00,0.0003862933333333334,8.446666666666667e-06
2016-01-13 15:00:00,2016-01-13 15:00:00,0.0005672666666666667,8.446666666666667e-06
2016-01-13 16:00:00,2016-01-13 16:00:00,0.00026480000000000004,3.771999999999999e-05
2016-01-13 17:00:00,2016-01-13 17:00:00,1.64e-06,3.771999999999999e-05
2016-01-13 18:00:00,2016-01-13 18:00:00,0.0,3.771999999999999e-05
2016-01-13 19:00:00,2016-01-13 19:00:00,0.0,0.00010148666666666668
2016-01-13 20:00:00,2016-01-13 20:00:00,0.0,0.00010148666666666668
2016-01-13 21:00:00,2016-01-13 21:00:00,0.0,0.00010148666666666668
2016-01-13 22:00:00,2016-01-13 22:00:00,0.0,9.586000000000001e-05
2016-01-13 23:00:00,2016-01-13 23:00:00,0.0,9.586000000000001e-05
2016-01-14 00:00:00,2016-01-14 00:00:00,0.0,9.586000000000001e-05
2016-01-14 01:00:00,2016-01-14 01:00:00,0.0,3.468666666666667e-05
2016-01-14 02:00:00,2016-01-14 02:00:00,0.0,3.468666666666667e-05
2016-01-14 03:00:00,2016-01-14 03:00:00,0.0,3.468666666666667e-05
2016-01-14 04:00:00,2016-01-14 04:00:00,0.0,2.1226666666666668e-05
2016-01-14 05:00:00,2016-01-14 05:00:00,0.0,2.1226666666666668e-05
2016-01-14 06:00:00,2016-01-14 06:00:00,0.0,2.1226666666666668e-05
2016-01-14 07:00:00,2016-01-14 07:00:00,0.0,1.246666666666667e-05
2016-01-14 08:00:00,2016-01-14 08:00:00,0.0,1.246666666666667e-05
2016-01-14 09:00:00,2016-01-14 09:00:00,0.0,1.246666666666667e-05
2016-01-14 10:00:00,2016-01-14 10:00:00,0.0,8.533333333333334e-06
2016-01-14 11:00:00,2016-01-14 11:00:00,0.0,8.533333333333334e-06
2016-01-14 12:00:00,2016-01-14 12:00:00,0.0,8.533333333333334e-06
