Date,Flow,validity
2015-10-22 08:00:00+00:00,5.7,1.0
2015-10-22 09:00:00+00:00,5.86,1.0
2015-10-22 10:00:00+00:00,5.86,1.0
2015-10-22 11:00:00+00:00,5.86,1.0
2015-10-22 12:00:00+00:00,5.78,1.0
2015-10-22 13:00:00+00:00,5.7,1.0
2015-10-22 14:00:00+00:00,5.7,1.0
2015-10-22 15:00:00+00:00,5.7,1.0
2015-10-22 16:00:00+00:00,5.7,1.0
2015-10-22 17:00:00+00:00,5.74,1.0
2015-10-22 18:00:00+00:00,5.86,1.0
2015-10-22 19:00:00+00:00,5.7,1.0
2015-10-22 20:00:00+00:00,5.7,1.0
2015-10-22 21:00:00+00:00,5.7,1.0
2015-10-22 22:00:00+00:00,5.7,1.0
2015-10-22 23:00:00+00:00,5.7,1.0
2015-10-23 00:00:00+00:00,5.7,1.0
2015-10-23 01:00:00+00:00,5.7,1.0
2015-10-23 02:00:00+00:00,5.7,1.0
2015-10-23 03:00:00+00:00,5.7,1.0
2015-10-23 04:00:00+00:00,5.7,1.0
2015-10-23 05:00:00+00:00,5.7,1.0
2015-10-23 06:00:00+00:00,5.62,1.0
2015-10-23 07:00:00+00:00,5.54,1.0
2015-10-23 08:00:00+00:00,5.54,1.0
2015-10-23 09:00:00+00:00,5.54,1.0
2015-10-23 10:00:00+00:00,5.54,1.0
2015-10-23 11:00:00+00:00,5.62,1.0
2015-10-23 12:00:00+00:00,5.54,1.0
2015-10-23 13:00:00+00:00,5.54,1.0
2015-10-23 14:00:00+00:00,5.54,1.0
2015-10-23 15:00:00+00:00,5.54,1.0
2015-10-23 16:00:00+00:00,5.54,1.0
2015-10-23 17:00:00+00:00,5.54,1.0
2015-10-23 18:00:00+00:00,5.42,1.0
2015-10-23 19:00:00+00:00,5.38,1.0
2015-10-23 20:00:00+00:00,5.38,1.0
2015-10-23 21:00:00+00:00,5.38,1.0
2015-10-23 22:00:00+00:00,5.38,1.0
2015-10-23 23:00:00+00:00,5.38,1.0
2015-10-24 00:00:00+00:00,5.38,1.0
2015-10-24 01:00:00+00:00,5.38,1.0
